"","Date","Team","Acquired","Relinquished","Notes"
"1715","1985-03-19","Suns"," Mike Sanders","","activated from IL"
"1815","1985-03-21","Celtics",""," M.L. Carr","placed on IL"
"1915","1985-03-21","Celtics"," Cedric Maxwell","","activated from IL"
"2015","1985-03-23","Nets",""," Otis Birdsong","placed on IL with fractured right hand"
"2118","1985-03-25","Pacers",""," Bill Garnett","placed on IL with dislocated finger (out for season)"
"2216","1985-03-29","Suns"," Larry Nance Sr.","","activated from IL"
"2315","1985-04-08","76ers",""," Andrew Toney","placed on IL"
"2415","1985-04-08","76ers"," Clemon Johnson","","activated from IL"
"2515","1985-04-11","Bucks",""," Kenny Fields","placed on IL with sprained ankle"
"2615","1985-10-08","Sonics",""," Tim McCormick","placed on IL recovering from arthroscopic surgery on right knee"
"272","1985-10-22","Bucks",""," Charles Davis","placed on IL"
"316","1985-10-22","Cavaliers",""," Keith Lee","placed on IL with pulled thigh muscle"
"416","1985-10-22","Cavaliers",""," Lonnie Shelton","placed on IL recovering from arthroscopic surgery on left knee"
"516","1985-10-24","Knicks",""," Bill Cartwright","placed on IL with bruised left foot"
"616","1985-10-24","Lakers",""," Ronnie Lester","placed on IL with tendinitis in knee"
"716","1985-10-24","Suns",""," Nick Vanos","placed on IL"
"816","1985-10-25","Bulls",""," Quintin Dailey","placed on IL during drug rehab"
"916","1985-10-28","Spurs",""," Tyrone Corbin","placed on IL with sprained knee"
"1016","1985-10-29","Suns",""," Bernard Thompson","placed on IL with stress fracture in left ankle"
"1116","1985-10-31","Hawks",""," Glenn Rivers / Doc Rivers","placed on IL with broken bone in right wrist (date approximate)"
"1216","1985-11-05","Bulls",""," Michael Jordan (J.)","placed on IL with broken navicular tarsal bone in left foot"
"1316","1985-11-06","Sonics"," Tim McCormick","","activated from IL"
"1416","1985-11-11","Bucks"," Charles Davis","","activated from IL"
"1516","1985-11-12","Lakers",""," Byron Scott","placed on IL with strained left hamstring"
"1616","1985-11-18","Bulls"," Quintin Dailey","","activated from IL"
"1716","1985-11-22","Lakers"," Byron Scott","","activated from IL"
"1816","1985-12-04","76ers",""," Sedale Threatt","placed on IL with pulled abdominal muscle"
"1916","1985-12-04","Hawks"," Glenn Rivers / Doc Rivers","","activated from IL"
"2016","1985-12-05","76ers",""," Voise Winters","waived"
"2119","1985-12-10","Cavaliers"," Lonnie Shelton","","activated form IR"
"2217","1985-12-10","Suns"," Bernard Thompson","","activated from IL"
"2316","1985-12-14","Cavaliers"," Keith Lee","","activated from IL"
"2416","1985-12-16","76ers"," Sedale Threatt","","activated from IL"
"2516","1985-12-17","Clippers"," Derek Smith","","activated from IL"
"2616","1985-12-17","Kings",""," Otis Thorpe","placed on IL with strained ligament in knee"
"273","1985-12-28","Sonics"," Frank Brickowski","","activated from IL (wrist surgery)"
"317","1986-01-03","Mavericks",""," Charlie Sitton","placed on IL"
"417","1986-01-05","Clippers",""," Derek Smith","placed on IL with sore left knee"
"517","1986-01-17","Bullets"," Jeff Ruland","","activated from IL"
"617","1986-02-15","Jazz",""," Jeff Cook","placed on IL"
"717","1986-02-22","Bulls",""," Jawann Oldham","placed on IL with broken left cheekbone"
"817","1986-02-27","Bucks",""," Earl Jones","placed on IL with stress fracture in right foot"
"917","1986-03-05","Bulls",""," Dave Corzine","placed on IL with broken left hand"
"1017","1986-03-05","Bulls"," Jawann Oldham","","activated from IL"
"1117","1986-03-14","Bulls",""," Jawann Oldham","placed on IL with re-injured left cheekbone"
"1217","1986-03-14","Bulls"," Michael Jordan (J.)","","activated from IL"
"1317","1986-04-09","Bucks",""," Derrick Rowland","placed on IL recovering from arthroscopic surgery on knee (date approxiomate)"
"1417","1986-04-10","Jazz"," Jeff Cook","","activated from IL"
"1517","1986-04-13","Bulls"," Jawann Oldham","","activated from IL"
"1617","1986-09-13","Kings",""," Franklin Edwards","placed on IL with fractured right foot"
"1717","1986-10-12","Suns",""," William Bedford","placed on IL recovering from surgery on right knee to remove bone chips (date approximate)"
"1817","1986-10-30","Bullets",""," Ennis Whatley","placed on IL with sprained right thumb"
"1917","1986-10-30","Bullets",""," Jay Vincent","placed on IL with ruptured tendon in right ring finger"
"2017","1986-10-30","Bulls",""," Gene Banks","placed on IL with broken right foot"
"2120","1986-10-30","Rockets",""," Ralph Sampson","placed on IL with sprained ankle"
"2218","1986-10-30","Knicks",""," Jawann Oldham","placed on IL with sore hip"
"2317","1986-11-01","Suns",""," Bernard Thompson","placed on IL with stress fracture in left shin"
"2417","1986-11-02","Clippers",""," Darnell Valentine","placed on IL with broken left hand (date approximate)"
"2517","1986-11-10","Bucks"," Scott Skiles","","activated from IL"
"2617","1986-11-10","Celtics",""," Bill Walton","placed on IL"
"274","1986-11-11","Celtics"," Danny Ainge","","activated from IL"
"318","1986-11-16","Rockets"," Ralph Sampson","","activated from IL"
"418","1986-11-17","Bucks",""," Scott Skiles","placed on IL with sprained ankle"
"518","1986-11-18","Celtics"," Danny Ainge","","activated from IL"
"618","1986-11-20","Nets",""," Darryl Dawkins","placed on IL with back injury"
"718","1986-11-20","Nets"," Pace Mannion","","activated from IL"
"818","1986-11-21","Warriors",""," Purvis Short","placed on IL with sore left knee"
"918","1986-11-21","Warriors"," Ben McDonald","","activated from IL"
"1018","1986-11-25","Celtics"," Scott Wedman","","activated from IL"
"1118","1986-11-26","Cavaliers",""," Carlton McCray / Scooter McCray","placed on IL with sore knee"
"1218","1986-11-26","Cavaliers"," Phil Hubbard","","activated from IL"
"1318","1986-11-28","Suns",""," James Edwards","placed on IL with left heel tendinitis"
"1418","1986-11-28","Suns"," William Bedford","","activated from IL"
"1518","1986-12-02","Clippers"," Darnell Valentine","","activated"
"1618","1986-12-08","Bulls"," Gene Banks","","activated from IL"
"1718","1986-12-08","Rockets",""," Robert Reid","placed on IL recovering from arthroscopic surgery on right knee"
"1818","1986-12-09","Cavaliers"," Carlton McCray / Scooter McCray","","activated from IL"
"1918","1986-12-11","Celtics",""," Scott Wedman","placed on IL with sore left heel (date approximate)"
"2018","1986-12-15","Sonics"," Terence Stansbury","","activated from IL"
"2121","1986-12-29","Pacers",""," Ron Anderson","placed on IL with sprained left knee"
"2219","1986-12-31","Pacers",""," Herb Williams","placed on IL with bruised ribs"
"2318","1987-01-05","76ers",""," Andrew Toney","placed on IL with sore foot"
"2418","1987-01-07","Pistons",""," Rick Mahorn","placed on IL"
"2518","1987-01-08","Bucks",""," Paul Pressey","placed on IL recovering from surgery on right ring finger to repair partially divided tendon (out 4-5 weeks) (date approximate)"
"2618","1987-01-09","Bucks",""," Paul Pressey","placed on IL recovering from surgery on right ring finger to repair partially divided tendon"
"275","1987-01-09","Bulls",""," Sedale Threatt","placed on IL with broken right ring finger"
"319","1987-01-10","Pacers"," Herb Williams","","activated from IL"
"419","1987-01-12","Cavaliers",""," Mark Price","placed on IL with appendectomy"
"519","1987-01-15","Kings"," Franklin Edwards","","activated from IL"
"619","1987-01-21","Knicks"," Kenny Walker","","activated from IL"
"719","1987-01-22","Pacers"," Ron Anderson","","activated from IL"
"819","1987-01-23","76ers",""," Kenny Green","placed on IL with ankle injury"
"919","1987-01-23","76ers"," Andrew Toney","","activated from IL"
"1019","1987-01-23","Cavaliers",""," John Bagley","placed on IL with sprained left ankle"
"1119","1987-01-27","Warriors",""," Chris Washburn","placed on IL"
"1219","1987-01-27","Warriors"," Purvis Short","","activated from IL"
"1319","1987-01-28","76ers",""," Jeff Ruland","placed on IL recovering from arthroscopic surgery on left knee"
"1419","1987-02-01","Kings",""," Kings","placed on IL with right foot injury"
"1519","1987-02-02","76ers"," Kenny Green","","activated from IL"
"1619","1987-02-11","Bucks",""," Keith Smith","placed on IL"
"1719","1987-02-11","Bucks"," Paul Pressey","","activated from IL"
"1819","1987-02-13","Bulls"," Sedale Threatt","","activated from IL"
"1919","1987-02-13","Hawks",""," Scott Hastings","placed on IL with knee injury"
"2019","1987-02-13","Hawks",""," Wayne Rollins / Tree Rollins","placed on IL with fractured big toe"
"2122","1987-02-14","Bucks"," Sidney Moncrief","","activated from IL"
"2220","1987-03-05","Suns",""," Grant Gondrezick","placed on IL with sore knee"
"2319","1987-03-05","Suns"," Bernard Thompson","","activated from IL"
"2419","1987-03-17","Bucks",""," Marvin Webster","placed on suspended list"
"2519","1987-03-17","Bucks"," Dudley Bradley","","activated from IL"
"2619","1987-03-21","Knicks",""," Patrick Ewing Sr.","placed on IL with sprained left knee"
"276","1987-03-23","Suns",""," William Bedford","placed on IL with weakness in right knee"
"320","1987-03-26","Warriors",""," Purvis Short","placed on IL with pulled thigh muscle"
"420","1987-03-30","Celtics",""," Rick Carlisle","placed on IL"
"520","1987-03-30","Celtics"," Sam Vincent","","activated"
"620","1987-04-03","Bucks",""," Junior Bridgeman","placed on IL"
"720","1987-04-03","Sonics",""," Alton Lister","placed on IL with broken bone in foot"
"820","1987-04-19","Blazers",""," Ron Rowan","placed on IL"
"920","1987-04-19","Blazers"," Ken Johnson","","activated"
"1020","1987-10-31","Clippers",""," Lancaster Gordon","placed on IL recovering from arthroscopic surgery on right knee"
"1120","1987-11-01","Suns",""," Bernard Thompson","placed on IL with stress fracture in foot (date approximate)"
"1220","1987-11-01","Suns",""," Larry Nance Sr.","placed on IL with broken right hand (date approximate)"
"1320","1987-11-03","Celtics",""," Bill Walton","placed on IL recovering from surgery on foot (date approximate)"
"1420","1987-11-03","Celtics",""," Kevin McHale","placed on IL recovering from surgery on foot (date approximate)"
"1520","1987-11-03","Kings",""," Franklin Edwards","placed on IL with sprained right ankle"
"1620","1987-11-03","Knicks",""," Louis Orr","placed on IL recovering from back surgery"
"1720","1987-11-04","Mavericks",""," Brad Davis","placed on IL"
"1820","1987-11-05","Blazers",""," Jim Paxson Jr.","placed on IL recovering from surgery on toe"
"1920","1987-11-05","Blazers",""," Ronnie Murphy","placed on IL"
"2020","1987-11-05","Blazers",""," Sam Bowie","placed on IL with broken bone in right leg"
"2123","1987-11-05","Nuggets",""," Maurice Martin / Mo Martin","placed on IL"
"2221","1987-11-05","Nuggets",""," Mike Evans","placed on IL"
"2320","1987-11-05","Warriors",""," Kevin Henderson","placed on IL"
"2420","1987-11-12","Bucks",""," Dudley Bradley","placed on IL with bruised left thigh"
"2520","1987-11-12","Spurs",""," Mike Mitchell","placed on IL recovering from arthroscopic surgery on knee"
"2620","1987-11-13","Pacers",""," Herb Williams","placed on IL with bruised lower left leg"
"277","1987-11-14","Pacers"," Brian Rowsom","","activated from IL"
"321","1987-11-15","Suns",""," Armon Gilliam / Armen Gilliam","placed on IL with broken left big toe"
"421","1987-11-15","Suns"," Winston Crite","","activated from IL"
"521","1987-11-20","Warriors",""," Larry Smith","placed on IL"
"621","1987-11-20","Warriors"," Kevin Henderson","","activated from IL"
"721","1987-11-24","Kings",""," Michael Jackson","placed on IL"
"821","1987-11-24","Kings"," Franklin Edwards","","activated from IL"
"921","1987-11-24","Pacers"," Herb Williams","","activated from IL"
"1021","1987-11-24","Warriors",""," Terry Teagle","placed on IL"
"1121","1987-11-25","Kings",""," Kenny Smith","placed on IL"
"1221","1987-11-30","Bucks",""," Jerry Reynolds (a)","placed on IL with left ankle injury"
"1321","1987-11-30","Bucks"," Dudley Bradley","","activated from IL"
"1421","1987-11-30","Celtics"," Kevin McHale","","activated from IL"
"1521","1987-11-30","Knicks",""," Bob Thornton","placed on IL with sprained left ankle"
"1621","1987-11-30","Knicks",""," Trent Tucker","placed on IL with sprained knee"
"1721","1987-11-30","Knicks"," Ray Tolbert","","activated from IL"
"1821","1987-12-01","Spurs"," Mike Mitchell","","activated from IL"
"1921","1987-12-01","Suns",""," Eddie Johnson (Lee)","placed on IL with pulled right calf muscle"
"2021","1987-12-01","Suns"," Larry Nance Sr.","","activated from IL"
"2124","1987-12-04","Bucks",""," Larry Krystkowiak","placed on IL with sprained left ankle"
"2222","1987-12-05","Rockets"," Robert Reid","","activated from IL"
"2321","1987-12-08","Pacers"," Scott Skiles","","activated from IL"
"2421","1987-12-09","76ers"," Andrew Toney","","activated from IL"
"2521","1987-12-09","Knicks"," Bob Thornton","","activated from IL"
"2621","1987-12-10","Suns",""," Walter Davis (P.)","placed on IL"
"278","1987-12-10","Suns"," Eddie Johnson (Lee)","","activated from IL"
"322","1987-12-13","Lakers",""," Jeff Lamp","placed on IL recovering from surgery on shoulder"
"422","1987-12-16","Bucks",""," Pace Mannion","placed on IL with sprained knee (date approximate)"
"522","1987-12-16","Knicks"," Louis Orr","","activated from IL"
"622","1987-12-17","Celtics",""," Greg Kite","placed on IL with strained lower back"
"722","1987-12-18","Blazers"," Ronnie Murphy","","activated from IL"
"822","1987-12-26","Bucks"," Pace Mannion","","activated from IL"
"922","1987-12-29","Cavaliers"," Ron Harper","","activated from IL"
"1022","1987-12-31","Pacers",""," Scott Skiles","placed on IL"
"1122","1988-01-02","Bucks",""," John Stroeder","placed on IL with tendinitis in both knees"
"1222","1988-01-02","Bucks"," Larry Krystkowiak","","activated from IL"
"1322","1988-01-06","Suns"," Armon Gilliam / Armen Gilliam","","activated from IL"
"1422","1988-01-07","Suns",""," Winston Crite","placed on IL"
"1522","1988-01-09","Clippers",""," Reggie Williams","placed on IL with strained biceps tendon and strained collateral ligament in left knee"
"1622","1988-01-14","Bucks",""," Larry Krystkowiak","placed on IL with tendinitis in foot"
"1722","1988-01-17","Blazers",""," Kiki Vandeweghe","placed on IL with strained lower back"
"1822","1988-01-18","Bucks"," John Stroeder","","activated from IL"
"1922","1988-01-18","Kings"," Derek Smith","","activated from IL"
"2022","1988-01-22","Bucks"," Larry Krystkowiak","","activated from IL"
"2125","1988-01-22","Bullets",""," Jay Murphy","placed on IL"
"2223","1988-01-22","Bullets"," Darrell Walker","","activated from IL"
"2322","1988-01-28","Blazers",""," Steve Johnson","placed on IL recovering from surgery on thumb"
"2422","1988-01-30","Cavaliers",""," Johnny Rogers","placed on IL with sprained left ankle"
"2522","1988-01-30","Cavaliers"," Kent Benson","","activated from IL"
"2622","1988-01-30","Clippers"," Lancaster Gordon","","activated from IL"
"279","1988-02-01","Pacers"," Scott Skiles","","activated from IL"
"323","1988-02-02","Blazers"," Kiki Vandeweghe","","activated from IL"
"423","1988-02-12","76ers",""," Cliff Robinson","placed on IL"
"523","1988-02-14","Warriors"," Larry Smith","","activated from IL"
"623","1988-02-17","Spurs"," David Greenwood","","activated"
"723","1988-02-17","Suns",""," Bernard Thompson","placed on IL"
"823","1988-02-17","Suns"," Winston Crite","","activated from IL"
"923","1988-02-23","Cavaliers",""," Kent Benson","placed on IL with elbow inflammation"
"1023","1988-02-23","Cavaliers"," Johnny Rogers","","activated from IL"
"1123","1988-02-26","Clippers"," Reggie Williams","","activated from IL"
"1223","1988-02-26","Suns",""," Craig Hodges","placed on IL with sore right Achilles tendon"
"1323","1988-02-27","Nets",""," Orlando Woolridge","placed on restricted list (player admitted to cocaine addiction and entered drug rehab clinic)"
"1423","1988-02-29","Blazers",""," Kiki Vandeweghe","placed on IL with strained lower back"
"1523","1988-03-02","76ers",""," Andrew Toney","placed on IL with recurring foot injury"
"1623","1988-03-02","Knicks",""," Rick Carlisle","placed on IL"
"1723","1988-03-03","Blazers"," Steve Johnson","","activated from IL"
"1823","1988-03-03","Clippers",""," Joe Wolf","placed on IL"
